[M] 4x4 x50 162.151s (4136/25.507) solve done at 2026.02.23 08:15:08
```
 Total 	 Time  	Moves	  TPS  
  2.670	  2.670	 90  	 33.707
  4.888	  2.218	 56  	 25.247
  8.291	  3.403	 84  	 24.684
 11.417	  3.126	 65  	 20.793
 14.259	  2.842	 76  	 26.741
 16.975	  2.716	 75  	 27.614
 19.630	  2.655	 71  	 26.741
 22.485	  2.855	 73  	 25.569
 27.465	  4.980	 120 	 24.096
 29.841	  2.376	 67  	 28.198
 33.468	  3.627	 100 	 27.570
 36.136	  2.668	 84  	 31.484
 39.464	  3.328	 81  	 24.338
 43.027	  3.563	 106 	 29.750
 46.026	  2.999	 80  	 26.675
 49.060	  3.034	 75  	 24.719
 53.163	  4.103	 98  	 23.884
 56.072	  2.909	 69  	 23.719
 58.966	  2.894	 71  	 24.533
 63.075	  4.109	 97  	 23.606
 65.861	  2.786	 76  	 27.279
 68.833	  2.972	 71  	 23.889
 71.922	  3.089	 77  	 24.927
 74.832	  2.910	 79  	 27.147
 77.566	  2.734	 68  	 24.871
 80.986	  3.420	 80  	 23.391
 83.640	  2.654	 66  	 24.868
 87.106	  3.466	 86  	 24.812
 90.157	  3.051	 83  	 27.204
 93.163	  3.006	 77  	 25.615
 96.987	  3.824	 108 	 28.242
101.053	  4.066	 100 	 24.594
104.453	  3.400	 69  	 20.294
106.829	  2.376	 61  	 25.673
109.732	  2.903	 78  	 26.868
113.638	  3.906	 98  	 25.089
116.577	  2.939	 80  	 27.220
120.536	  3.959	 90  	 22.733
123.393	  2.857	 75  	 26.251
127.311	  3.918	 96  	 24.502
130.045	  2.734	 72  	 26.335
133.171	  3.126	 82  	 26.231
137.396	  4.225	 111 	 26.272
140.065	  2.669	 64  	 23.979
145.364	  5.299	 133 	 25.099
148.311	  2.947	 69  	 23.413
152.358	  4.047	 104 	 25.698
155.397	  3.039	 80  	 26.324
158.832	  3.435	 86  	 25.036
162.151	  3.319	 79  	 23.802
```
