[M] 4x4 x100 333.885s (8605/25.772) solve done at 2026.03.05 08:14:31
```
 Total 	 Time  	Moves	  TPS  
273.232	  3.387	 90  	 26.572
275.871	  2.639	 74  	 28.040
279.094	  3.223	 83  	 25.752
281.984	  2.890	 76  	 26.297
285.371	  3.387	 94  	 27.753
288.024	  2.653	 75  	 28.269
291.864	  3.840	 98  	 25.520
295.438	  3.574	 99  	 27.700
299.663	  4.225	 97  	 22.958
302.699	  3.036	 82  	 27.009
306.076	  3.377	 95  	 28.131
308.496	  2.420	 66  	 27.272
312.002	  3.506	 74  	 21.106
316.898	  4.896	 121 	 24.714
320.763	  3.865	 93  	 24.062
323.767	  3.004	 78  	 25.965
326.460	  2.693	 68  	 25.250
329.484	  3.024	 77  	 25.462
333.885	  4.401	 117 	 26.584
```
